subset_indices,subset_names,strength
"(8, 9)","(GATS8e,GATS8s)",0.8106583688639963
"(4, 5)","(CrippenMR,SpMax7_Bhe)",0.5724633948509812
"(0, 4)","(MDEC-23,CrippenMR)",0.5558375191743337
"(4, 10)","(CrippenMR,SpMax5_Bhv)",0.550493164837673
"(5, 10)","(SpMax7_Bhe,SpMax5_Bhv)",0.44522659385759433
"(3, 11)","(VE3_Dt,VE3_Dzi)",0.3881697119399985
"(0, 5)","(MDEC-23,SpMax7_Bhe)",0.380800902174929
"(0, 10)","(MDEC-23,SpMax5_Bhv)",0.35646966799307034
"(0, 12)","(MDEC-23,VPC-4)",0.28145865218905897
"(2, 9)","(ATSC8s,GATS8s)",0.25863099495607855
"(2, 8)","(ATSC8s,GATS8e)",0.17659714811003657
"(5, 12)","(SpMax7_Bhe,VPC-4)",0.17024319558290646
"(4, 5, 10)","(CrippenMR,SpMax7_Bhe,SpMax5_Bhv)",0.5227277178487495
"(0, 4, 5)","(MDEC-23,CrippenMR,SpMax7_Bhe)",0.5030339387334146
"(0, 4, 10)","(MDEC-23,CrippenMR,SpMax5_Bhv)",0.4876001173350257
"(2, 8, 9)","(ATSC8s,GATS8e,GATS8s)",0.41529550397670384
"(0, 5, 10)","(MDEC-23,SpMax7_Bhe,SpMax5_Bhv)",0.39416572134186456
"(0, 4, 12)","(MDEC-23,CrippenMR,VPC-4)",0.32656443550930936
"(5, 8, 9)","(SpMax7_Bhe,GATS8e,GATS8s)",0.30621836176144623
"(6, 8, 9)","(SpMin1_Bhs,GATS8e,GATS8s)",0.30205746376927717
"(8, 9, 10)","(GATS8e,GATS8s,SpMax5_Bhv)",0.3016205916013052
"(1, 8, 9)","(MATS2v,GATS8e,GATS8s)",0.2976111313118183
"(4, 5, 12)","(CrippenMR,SpMax7_Bhe,VPC-4)",0.29503457519947435
"(4, 8, 9)","(CrippenMR,GATS8e,GATS8s)",0.2927982319125375
