subset_indices,subset_names,strength
"(8, 9)","(GATS8e,GATS8s)",0.8668294436295296
"(4, 10)","(CrippenMR,SpMax5_Bhv)",0.5353089955014794
"(4, 5)","(CrippenMR,SpMax7_Bhe)",0.44812474368585953
"(0, 4)","(MDEC-23,CrippenMR)",0.41732257947271156
"(3, 11)","(VE3_Dt,VE3_Dzi)",0.4075958356462621
"(0, 5)","(MDEC-23,SpMax7_Bhe)",0.3334616046820382
"(0, 10)","(MDEC-23,SpMax5_Bhv)",0.32640542215794666
"(5, 10)","(SpMax7_Bhe,SpMax5_Bhv)",0.30550329976003465
"(0, 12)","(MDEC-23,VPC-4)",0.28517445742530967
"(0, 6)","(MDEC-23,SpMin1_Bhs)",0.1817885342191663
"(0, 7)","(MDEC-23,C1SP2)",0.17539069926595596
"(2, 9)","(ATSC8s,GATS8s)",0.16851072066361938
"(4, 5, 10)","(CrippenMR,SpMax7_Bhe,SpMax5_Bhv)",0.42964567964912453
"(0, 4, 10)","(MDEC-23,CrippenMR,SpMax5_Bhv)",0.42634566571071253
"(0, 4, 5)","(MDEC-23,CrippenMR,SpMax7_Bhe)",0.3996363092802031
"(2, 8, 9)","(ATSC8s,GATS8e,GATS8s)",0.39736741239408696
"(6, 8, 9)","(SpMin1_Bhs,GATS8e,GATS8s)",0.3454432325148737
"(8, 9, 11)","(GATS8e,GATS8s,VE3_Dzi)",0.3245854311553784
"(0, 5, 10)","(MDEC-23,SpMax7_Bhe,SpMax5_Bhv)",0.3217901088666732
"(8, 9, 12)","(GATS8e,GATS8s,VPC-4)",0.30845448714795176
"(8, 9, 10)","(GATS8e,GATS8s,SpMax5_Bhv)",0.3073395792962322
"(7, 8, 9)","(C1SP2,GATS8e,GATS8s)",0.3068535119097739
"(5, 8, 9)","(SpMax7_Bhe,GATS8e,GATS8s)",0.29634183371089434
"(4, 8, 9)","(CrippenMR,GATS8e,GATS8s)",0.29434499751971765
