split,feature,mean_abs_shap
0,q1_z_6,2.095435943737898
0,q1_z_0,1.9156130493562074
0,q2_z_2_6,1.761355128629753
0,q2_z_1_4,1.703932066119161
0,q2_z_0_9,1.5557193368145366
0,q2_z_1_3,1.228172833718291
0,cl_8,1.1111156724086584
0,q1_z_2,1.0266992946822358
0,q2_z_0_1,0.9509916239673466
0,q2_z_1_8,0.9072133638765963
0,cl_3,0.7363512656823378
0,q1_z_4,0.7114044198946827
0,q2_z_3_6,0.6814667108938143
0,q1_z_1,0.6221098068453296
0,q2_z_0_7,0.621711142327144
0,q2_z_4_7,0.613989142656374
0,q2_z_3_4,0.5644868931005652
0,q2_z_2_5,0.521302182674195
0,q2_z_5_8,0.5030382792938258
0,q2_z_1_6,0.5022470298811965
0,q2_z_1_9,0.49981591802035225
0,q2_z_6_8,0.48185967254035594
0,q2_z_3_7,0.47292446419204365
0,q2_z_3_8,0.4691340875682077
0,q2_z_0_6,0.4675441471654695
0,q2_z_2_7,0.46078037050961235
0,q2_z_1_7,0.4162894577602008
0,q2_z_3_9,0.3966568737790172
0,q2_z_0_5,0.3908058585615231
0,q2_z_0_8,0.38749852221758063
0,q1_z_5,0.3617281012330843
0,q1_z_8,0.34195697620357085
0,cl_4,0.33532701291984035
0,q2_z_4_6,0.32682636386784164
0,q2_z_5_6,0.32152900817444124
0,q2_z_4_5,0.3156638182832568
0,cl_6,0.31365397470105727
0,cl_7,0.30809746801534954
0,q2_z_2_3,0.2840291818338724
0,q2_z_0_2,0.28399424344299795
0,q2_z_0_4,0.2798139317650831
0,q2_z_1_2,0.2536356073783792
0,q2_z_4_8,0.2466202838750247
0,q2_z_2_8,0.23707563567496087
0,q2_z_5_9,0.22630651280660974
0,q2_z_7_8,0.21828043320904114
0,q1_z_7,0.21285126095731866
0,q2_z_6_7,0.18828141108945026
0,cl_0,0.1816716589291312
0,q2_z_1_5,0.17975935759081657
0,q2_z_7_9,0.16767586401902845
0,q1_z_9,0.14876159321653118
0,q2_z_5_7,0.14317340280732474
0,q2_z_4_9,0.11921170230109195
0,q2_z_0_3,0.11265270473855221
0,q2_z_2_4,0.11181842717968976
0,q2_z_2_9,0.11129951592516453
0,q2_z_3_5,0.09651662179257564
0,q2_z_8_9,0.09609761397157543
0,cl_2,0.09285408435671606
0,q2_z_6_9,0.09242993364259534
0,cl_1,0.03306863126223819
0,q1_z_3,0.022428522527868238
0,cl_9,0.0038550176788063476
