model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,7,21,18,40
Classical_orig,1,14,14,15,42
Classical_orig,2,11,17,24,34
Classical_orig,3,9,19,19,38
Classical_orig,4,10,18,28,30
Classical_orig,5,10,18,24,33
Q_1body,0,9,19,17,41
Q_1body,1,16,12,20,37
Q_1body,2,14,14,22,36
Q_1body,3,11,17,13,44
Q_1body,4,10,18,15,43
Q_1body,5,16,12,15,42
Q_2body,0,7,21,12,46
Q_2body,1,14,14,15,42
Q_2body,2,15,13,14,44
Q_2body,3,13,15,14,43
Q_2body,4,15,13,17,41
Q_2body,5,8,20,9,48
SHAP50,0,3,25,9,49
SHAP50,1,2,26,5,52
SHAP50,2,2,26,2,56
SHAP50,3,9,19,9,48
SHAP50,4,6,22,13,45
SHAP50,5,2,26,2,55
