model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,7,21,18,40
Classical_orig,1,10,18,17,40
Classical_orig,2,8,20,19,39
Classical_orig,3,11,17,20,37
Classical_orig,4,13,15,21,37
Classical_orig,5,14,14,20,37
Q_1body,0,7,21,16,42
Q_1body,1,16,12,17,40
Q_1body,2,15,13,19,39
Q_1body,3,11,17,20,37
Q_1body,4,10,18,14,44
Q_1body,5,13,15,18,39
Q_2body,0,7,21,13,45
Q_2body,1,16,12,16,41
Q_2body,2,14,14,19,39
Q_2body,3,13,15,15,42
Q_2body,4,20,8,19,39
Q_2body,5,12,16,12,45
SHAP50,0,3,25,7,51
SHAP50,1,13,15,14,43
SHAP50,2,6,22,8,50
SHAP50,3,10,18,13,44
SHAP50,4,9,19,13,45
SHAP50,5,6,22,5,52
