model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,8,20,15,43
Classical_orig,1,2,26,10,47
Classical_orig,2,8,20,9,49
Classical_orig,3,11,17,16,41
Classical_orig,4,10,18,12,46
Classical_orig,5,11,17,13,44
Q_1body,0,9,19,5,53
Q_1body,1,11,17,8,49
Q_1body,2,15,13,14,44
Q_1body,3,11,17,8,49
Q_1body,4,5,23,7,51
Q_1body,5,14,14,11,46
Q_2body,0,9,19,13,45
Q_2body,1,9,19,16,41
Q_2body,2,14,14,18,40
Q_2body,3,11,17,23,34
Q_2body,4,2,26,5,53
Q_2body,5,5,23,14,43
SHAP50,0,10,18,8,50
SHAP50,1,10,18,14,43
SHAP50,2,3,25,3,55
SHAP50,3,8,20,17,40
SHAP50,4,18,10,27,31
SHAP50,5,4,24,12,45
