model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,9,19,18,40
Classical_orig,1,5,23,7,50
Classical_orig,2,11,17,10,48
Classical_orig,3,9,19,19,38
Classical_orig,4,9,19,13,45
Classical_orig,5,10,18,16,41
Q_1body,0,6,22,8,50
Q_1body,1,10,18,20,37
Q_1body,2,13,15,18,40
Q_1body,3,4,24,7,50
Q_1body,4,13,15,17,41
Q_1body,5,4,24,13,44
Q_2body,0,4,24,18,40
Q_2body,1,2,26,4,53
Q_2body,2,4,24,16,42
Q_2body,3,11,17,16,41
Q_2body,4,14,14,20,38
Q_2body,5,11,17,23,34
SHAP50,0,10,18,15,43
SHAP50,1,7,21,11,46
SHAP50,2,5,23,16,42
SHAP50,3,5,23,16,41
SHAP50,4,14,14,19,39
SHAP50,5,6,22,19,38
