split,feature,mean_abs_shap
0,q2_z_2_3,2.7998249144664333
0,q1_z_1,2.5485285219418845
0,q2_z_7_8,1.583751291348817
0,q2_z_0_8,1.581000934953645
0,q2_z_3_4,1.3394811166326392
0,q2_z_1_4,1.2785150060495214
0,q2_z_0_2,1.031298555861493
0,q2_z_3_8,0.9815127376661662
0,q2_z_0_1,0.9076340583710808
0,q1_z_9,0.8711282686939725
0,q2_z_3_6,0.8648892221139345
0,q1_z_4,0.8523088684428295
0,q2_z_3_9,0.8500366179309352
0,q1_z_8,0.7318839292372141
0,q1_z_2,0.7041232104503156
0,q2_z_0_7,0.6084404110121078
0,cl_4,0.5990408052565046
0,q2_z_2_7,0.5838131922832914
0,cl_7,0.564246664520317
0,cl_3,0.5520511711967069
0,q2_z_2_6,0.5250443976391865
0,q2_z_1_6,0.5106653953304875
0,q2_z_4_6,0.48450559247000446
0,q1_z_5,0.4826477788438573
0,q2_z_5_7,0.46649981219981634
0,q2_z_5_6,0.46441558954182893
0,q2_z_8_9,0.4485386912326702
0,q2_z_4_8,0.43467577885688086
0,q2_z_1_9,0.43258250233921686
0,q2_z_1_7,0.42574462831699744
0,q2_z_2_5,0.41158844770461017
0,q1_z_7,0.41015302988457425
0,q2_z_5_9,0.4059689491936973
0,q2_z_6_9,0.40047301782427325
0,q2_z_4_5,0.398459223700695
0,q1_z_3,0.3135172202862389
0,q2_z_1_3,0.3090800832833564
0,q2_z_3_7,0.2711068288777272
0,q2_z_2_8,0.25752774659896926
0,q1_z_6,0.2439550194441537
0,q2_z_1_5,0.22484923911025478
0,q2_z_0_6,0.21078579003600498
0,q2_z_1_2,0.18457026881632665
0,q2_z_5_8,0.17125681873720658
0,cl_8,0.1661349305533101
0,cl_6,0.16550692563843494
0,q2_z_1_8,0.1598592973421601
0,q2_z_0_3,0.1510658145461265
0,q2_z_6_8,0.14004286628499937
0,q2_z_4_9,0.12496357061693818
0,cl_2,0.11564066266670939
0,q2_z_4_7,0.10900070726095978
0,q1_z_0,0.09491135784494686
0,cl_0,0.0827284864441585
0,q2_z_0_4,0.08208371249765725
0,q2_z_0_9,0.07954390502209817
0,q2_z_2_9,0.07828804232873195
0,q2_z_6_7,0.07756574313813339
0,q2_z_2_4,0.0744164458052201
0,cl_9,0.07078037406508812
0,q2_z_0_5,0.03836125362462697
0,q2_z_7_9,0.03390034168319254
0,q2_z_3_5,0.03364728139715423
0,cl_1,0.023375352543044754
0,cl_5,0.0016593125984166966
1,q2_z_2_3,2.434734744740138
1,q1_z_1,2.224249475963697
1,q2_z_7_8,1.9689647099132799
1,q1_z_8,1.6941271431854306
1,q2_z_8_9,1.6143517589595886
1,q2_z_0_1,1.3084456883721707
1,q2_z_0_8,1.2964013978293796
1,q2_z_1_4,1.24846854439133
1,q2_z_4_5,1.2182153579534665
1,q2_z_5_9,1.1988228459690116
