AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,MCC,model_type
0.49507389162561577,0.5038461538461538,0.5053763440860215,0.5049261083743842,0.5813953488372093,0.010292609703223318,Classical_orig
0.5795739348370927,0.4176942650225093,0.4152334152334153,0.45676691729323304,0.5882352941176471,-0.12107387447313195,Classical_orig
0.6366995073891626,0.5754893617021277,0.5950510604870385,0.5745073891625616,0.6627906976744186,0.16830931470387436,Classical_orig
0.550125313283208,0.5750685373326883,0.5783333333333334,0.5736215538847118,0.6352941176470588,0.1518818188061901,Classical_orig
0.5788177339901478,0.558974358974359,0.5631720430107527,0.5578817733990148,0.627906976744186,0.12093816401287398,Classical_orig
0.6027568922305764,0.5750685373326883,0.5783333333333334,0.5736215538847118,0.6352941176470588,0.1518818188061901,Classical_orig
0.707512315270936,0.6532258064516129,0.6787878787878787,0.645320197044335,0.7209302325581395,0.32237549394824183,Q_1body
0.7487468671679198,0.649859943977591,0.6616409537166901,0.6444235588972431,0.7058823529411765,0.3055798540434819,Q_1body
0.7142857142857143,0.6718101874896301,0.6941391941391941,0.6631773399014778,0.7325581395348837,0.3559725678770783,Q_1body
0.7280701754385964,0.66,0.6764069264069263,0.6531954887218046,0.7176470588235294,0.3287840951434269,Q_1body
0.8208128078817734,0.7288866766218682,0.7571428571428571,0.7161330049261083,0.7790697674418605,0.4714957408485075,Q_1body
0.768796992481203,0.6778711484593838,0.6914446002805049,0.6710526315789473,0.7294117647058823,0.36192321107969877,Q_1body
0.4236453201970444,0.4642622950819672,0.46448863636363635,0.46921182266009853,0.5581395348837209,-0.06613108682663826,Q_2body
0.42387218045112784,0.38974358974358975,0.3997747747747748,0.38847117794486213,0.4235294117647059,-0.21145213462701443,Q_2body
0.5935960591133005,0.557773744706594,0.5571428571428572,0.5591133004926109,0.6046511627906976,0.11623945776356749,Q_2body
0.5899122807017543,0.5938375350140056,0.6020336605890604,0.5911654135338346,0.6588235294117647,0.19289313997104823,Q_2body
0.7235221674876848,0.6967948717948718,0.7076612903225806,0.6902709359605912,0.7441860465116279,0.39755204978700065,Q_2body
0.506578947368421,0.43333333333333335,0.4310966810966811,0.4401629072681704,0.5294117647058824,-0.12842078153863912,Q_2body
0.43226600985221675,0.4361628709454796,0.434640522875817,0.4507389162561576,0.5581395348837209,-0.1134844249413659,SHAP50
0.6651002506265664,0.6336206896551724,0.6318181818181818,0.6362781954887218,0.6705882352941176,0.2680592766593692,SHAP50
0.6391625615763546,0.555457096440703,0.5554602630074328,0.5597290640394088,0.5930232558139535,0.11511020112593694,SHAP50
0.5964912280701754,0.5202386711820673,0.5216666666666667,0.5203634085213033,0.5882352941176471,0.04200986477618024,SHAP50
0.7626231527093597,0.7136514983351832,0.721639344262295,0.708128078817734,0.7558139534883721,0.429554983264,SHAP50
0.5147243107769424,0.49404761904761907,0.5165995975855131,0.5103383458646616,0.6235294117647059,0.026200181759158597,SHAP50
