model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,7,21,22,36
Classical_orig,1,10,18,19,38
Classical_orig,2,11,17,21,37
Classical_orig,3,13,15,15,42
Classical_orig,4,13,15,28,30
Classical_orig,5,11,17,29,28
Q_1body,0,14,14,14,44
Q_1body,1,14,14,17,40
Q_1body,2,17,11,16,42
Q_1body,3,16,12,12,45
Q_1body,4,13,15,8,50
Q_1body,5,11,17,13,44
Q_2body,0,8,20,11,47
Q_2body,1,12,16,13,44
Q_2body,2,13,15,12,46
Q_2body,3,9,19,9,48
Q_2body,4,15,13,13,45
Q_2body,5,14,14,12,45
SHAP50,0,4,24,4,54
SHAP50,1,1,27,3,54
SHAP50,2,2,26,3,55
SHAP50,3,2,26,5,52
SHAP50,4,5,23,4,54
SHAP50,5,3,25,5,52
