split,feature,mean_abs_shap
0,q2_z_40_43,0.013674051891623138
0,q2_z_33_41,0.012359560812475124
0,q2_z_30_40,0.011866739905108122
0,q2_z_40_51,0.011716007421561106
0,q2_z_9_36,0.010962557103078798
0,q2_z_9_84,0.010829886033380127
0,q2_z_12_40,0.01021069186334801
0,q2_z_8_14,0.010014254542453159
0,q2_z_9_35,0.009844083704732137
0,q2_z_9_114,0.00983357794205457
0,q2_z_8_81,0.009784374018860838
0,q2_z_40_94,0.009306114146840669
0,q2_z_8_67,0.009129115361721701
0,q2_z_40_44,0.008958357952448608
0,q2_z_40_68,0.00891152825476898
0,q2_z_11_34,0.008883890716760384
0,q2_z_40_104,0.008721406002046763
0,q2_z_8_40,0.008655444907541464
0,q2_z_8_100,0.008549727115940564
0,q2_z_8_68,0.008391608536659217
0,q2_z_9_67,0.008357525461827066
0,q2_z_9_105,0.008253939676337793
0,q2_z_26_40,0.008250703081303363
0,q2_z_9_11,0.008240689471459466
0,q2_z_40_84,0.008151724368462716
0,q2_z_5_9,0.008010098522653301
0,q2_z_40_50,0.007997112965987308
0,q2_z_8_84,0.007926959794057782
0,q2_z_40_114,0.007922415597814819
0,q2_z_40_45,0.007872795059077835
0,q2_z_33_83,0.007683043349949107
0,q2_z_35_40,0.007672949604430306
0,q2_z_33_40,0.007650630776975435
0,q2_z_9_66,0.007612053825736943
0,q2_z_9_118,0.007486830670693452
0,q2_z_9_51,0.007462076503654284
0,q2_z_8_10,0.007408931522506563
0,q2_z_25_108,0.00730267778426919
0,q2_z_8_12,0.007200217000424634
0,q2_z_9_99,0.007174785430352581
0,q2_z_3_9,0.007156282904180989
0,q2_z_17_40,0.007124861905809031
0,q2_z_34_55,0.007117451245307445
0,q2_z_40_101,0.007069239785520771
0,q2_z_21_91,0.007064926989368421
0,q2_z_11_50,0.006960893054019037
0,q2_z_8_28,0.006887975736465304
0,q2_z_40_80,0.006818717689639118
0,q2_z_108_114,0.0067976653890738795
0,q2_z_9_115,0.006793329232034731
0,q2_z_10_44,0.0067276681076101396
0,q2_z_40_73,0.006639433767880905
0,q2_z_40_62,0.006638072073834572
0,q2_z_40_59,0.0066011028100822
0,q2_z_40_65,0.006587229651528798
0,q2_z_40_66,0.006577442217323454
0,q2_z_40_67,0.006571988933658882
0,q2_z_9_18,0.00651745346782992
0,q2_z_8_105,0.006446096311806683
0,q2_z_11_40,0.006430893586269161
0,q2_z_54_101,0.006404285792905218
0,q2_z_9_41,0.006378710204090238
0,q2_z_22_108,0.0063731956037492606
0,q2_z_9_45,0.006366213847343659
0,q2_z_9_10,0.0063380350401734615
0,q2_z_52_81,0.006302269935396222
0,q2_z_9_109,0.006284488585508891
0,q2_z_34_114,0.006281417375821162
0,q2_z_6_67,0.0062597898365764
0,q2_z_8_54,0.006232252277853244
0,q2_z_12_44,0.006213377486415098
0,q2_z_10_108,0.0062077515020606214
0,q2_z_9_97,0.006136094541453962
0,q2_z_40_63,0.006128840037211923
0,q2_z_40_89,0.006115771211242728
0,q2_z_18_93,0.006093713296491328
0,q2_z_8_117,0.0060649321483005475
0,q2_z_8_57,0.006064674340751304
0,q2_z_9_21,0.006019164138994956
0,q2_z_1_54,0.005936032340221269
0,q2_z_8_113,0.005915306764175587
0,q2_z_8_42,0.005861197331117601
0,q2_z_10_88,0.005840425925653774
0,q2_z_40_98,0.005836168139673157
0,q2_z_9_12,0.0058277935499662075
0,q2_z_8_97,0.005813126423911166
0,q2_z_46_54,0.005772146141495295
0,q2_z_40_110,0.005755730621526958
0,q2_z_39_49,0.0057279137863945305
0,q2_z_21_41,0.005722743219816533
0,q2_z_14_107,0.005693848096529636
0,q2_z_38_52,0.0056875543705438006
0,q2_z_55_89,0.005684984747756085
0,q2_z_8_27,0.005643839231517632
0,q2_z_8_119,0.005640012697270955
0,q2_z_9_95,0.005633294498311224
0,q2_z_85_114,0.005615557059002543
0,q2_z_9_20,0.005587138100142472
0,q2_z_32_40,0.005551228389604918
0,q2_z_101_103,0.0055376782703703605
0,q2_z_12_114,0.0055263876297634365
0,q2_z_1_12,0.00550750474237095
0,q1_z_8,0.005484935062897228
0,q2_z_67_93,0.005478565459259565
0,q2_z_27_114,0.005475297636417688
0,q2_z_44_54,0.005451401197246252
0,q2_z_40_77,0.0054510633503319205
0,q2_z_9_31,0.00544626215832257
0,q2_z_11_55,0.00543210211293264
0,q2_z_49_54,0.0054302591853886304
0,q2_z_9_17,0.005416977376895709
0,q2_z_9_71,0.005388189093381088
0,q2_z_9_37,0.0053773363526816035
0,q2_z_9_16,0.005371036775942086
0,q2_z_27_84,0.0053568965189270635
0,q2_z_30_67,0.0053478783670648095
0,q2_z_40_107,0.005339443851810559
0,q2_z_50_95,0.0053297464863630946
0,q2_z_43_54,0.005302493573746767
0,q2_z_33_55,0.005267121987368515
0,q2_z_109_114,0.005244060727389803
0,q2_z_84_101,0.005228318578302429
0,q2_z_18_28,0.005217993504015947
0,q2_z_76_84,0.005160149608580502
0,q2_z_8_23,0.0051207845795654145
0,q2_z_9_101,0.005104489027149137
0,q2_z_1_91,0.005103150654202921
0,q2_z_8_22,0.005091928545281945
0,q2_z_25_40,0.005081600820063517
0,q2_z_9_39,0.005058846581287634
0,q2_z_8_108,0.005051297942234687
0,q2_z_33_50,0.005049881177991336
0,q2_z_83_95,0.005047621089050292
0,q2_z_8_18,0.0050172530603777524
0,q2_z_14_93,0.0049863994132816475
0,q2_z_9_47,0.00497657462800282
0,q2_z_101_110,0.004974770721631083
0,q2_z_40_42,0.004946902352530473
0,cl_2,0.004924526150280664
0,q2_z_50_67,0.004891823270998415
0,q2_z_8_29,0.0048857859865532385
0,q2_z_12_117,0.004882968638570612
0,q2_z_27_67,0.004881112936389472
0,q2_z_40_86,0.0048590626208914415
0,q2_z_9_87,0.004855437444930842
0,q2_z_82_114,0.004853039494208532
0,q2_z_22_54,0.004849094692767554
0,q2_z_8_58,0.004845492988325309
0,q2_z_28_108,0.004827466084830476
0,q2_z_8_88,0.004825697529789246
0,q2_z_44_114,0.004816719801886964
0,q2_z_9_82,0.004797111136549137
0,q2_z_71_95,0.004790736709069351
0,q2_z_51_108,0.00477916534471377
0,q2_z_9_33,0.004728161495220533
0,q2_z_68_107,0.00472800613620801
0,q2_z_28_44,0.004723776448666856
0,q2_z_70_82,0.004722314339814371
0,q2_z_8_98,0.00472205497798676
0,q2_z_68_113,0.0046871603659299835
0,q2_z_40_102,0.004684312620012601
0,q2_z_41_54,0.004682687755861088
0,q2_z_0_84,0.0046798298769009416
0,cl_68,0.004678227511684399
0,q2_z_49_101,0.004675316373044241
0,q2_z_11_107,0.0046669178854281635
0,q2_z_101_114,0.004661135922871511
0,q2_z_10_49,0.004654722727806821
0,q2_z_41_75,0.004627950899845575
0,q2_z_40_57,0.004615279128910404
0,q2_z_5_8,0.00461055599090319
0,q2_z_68_91,0.004586304376954011
0,q2_z_22_84,0.004566926546438858
0,q2_z_9_61,0.004549969272975546
0,q2_z_45_84,0.004549218171504267
0,q2_z_40_74,0.004546839485467349
0,q2_z_40_85,0.004539703103838498
0,q2_z_15_101,0.00453778712670097
0,q2_z_8_24,0.004536897793347146
0,q2_z_9_116,0.00450624148963007
0,q2_z_28_48,0.00450390189153775
