model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,6,22,14,44
Classical_orig,1,3,25,11,46
Classical_orig,2,10,18,8,50
Classical_orig,3,11,17,18,39
Classical_orig,4,10,18,11,47
Classical_orig,5,7,21,14,43
Q_1body,0,1,27,3,55
Q_1body,1,13,15,10,47
Q_1body,2,9,19,11,47
Q_1body,3,15,13,7,50
Q_1body,4,14,14,12,46
Q_1body,5,12,16,5,52
Q_2body,0,9,19,8,50
Q_2body,1,11,17,19,38
Q_2body,2,13,15,11,47
Q_2body,3,11,17,17,40
Q_2body,4,12,16,10,48
Q_2body,5,9,19,17,40
SHAP50,0,9,19,8,50
SHAP50,1,12,16,17,40
SHAP50,2,8,20,10,48
SHAP50,3,10,18,16,41
SHAP50,4,11,17,16,42
SHAP50,5,9,19,16,41
