AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,model_type
0.5283251231527094,0.4798387096774194,0.4833333333333333,0.48645320197044334,0.5813953488372093,Classical_orig
0.5921052631578948,0.4308035714285714,0.43108651911468815,0.4570802005012531,0.5764705882352941,Classical_orig
0.6964285714285714,0.6142167011732229,0.6454248366013072,0.6096059113300493,0.6976744186046512,Classical_orig
0.5545112781954887,0.5381151995031828,0.5378694581280787,0.5385338345864662,0.5882352941176471,Classical_orig
0.5886699507389163,0.5861954537912726,0.5996336996336996,0.583743842364532,0.6627906976744186,Classical_orig
0.6021303258145364,0.4982290436835891,0.5026041666666666,0.5021929824561404,0.5882352941176471,Classical_orig
0.708743842364532,0.42410714285714285,0.4603658536585366,0.4919950738916256,0.6511627906976745,Q_1body
0.6622807017543859,0.649859943977591,0.6616409537166901,0.6444235588972431,0.7058823529411765,Q_1body
0.7561576354679803,0.5665322580645161,0.581060606060606,0.5658866995073891,0.6511627906976745,Q_1body
0.7506265664160401,0.7166666666666667,0.7377344877344877,0.706453634085213,0.7647058823529411,Q_1body
0.7056650246305419,0.6490897677338355,0.6525641025641026,0.646551724137931,0.6976744186046512,Q_1body
0.7493734335839599,0.6826666666666666,0.7352941176470589,0.6704260651629073,0.7529411764705882,Q_1body
0.5723522167487686,0.5937007874015748,0.6270247229326513,0.5917487684729064,0.686046511627907,Q_2body
0.5482456140350878,0.5289408866995073,0.5287878787878788,0.5297619047619048,0.5764705882352941,Q_2body
0.625615763546798,0.6416666666666666,0.6498655913978495,0.6373152709359606,0.6976744186046512,Q_2body
0.6365914786967418,0.5473057644110275,0.5473057644110275,0.5473057644110275,0.6,Q_2body
0.665024630541872,0.6334426229508197,0.6477272727272727,0.6280788177339901,0.6976744186046512,Q_2body
0.5482456140350878,0.5114942528735632,0.5120599739243807,0.5115914786967418,0.5764705882352941,Q_2body
0.5769704433497537,0.5937007874015748,0.6270247229326513,0.5917487684729064,0.686046511627907,SHAP50
0.6384711779448622,0.5645086166744294,0.5640394088669951,0.5651629072681704,0.611764705882353,SHAP50
0.5104679802955665,0.5548654244306418,0.5751633986928104,0.5566502463054187,0.6511627906976745,SHAP50
0.6663533834586466,0.5386334610472541,0.5397653194263364,0.5382205513784462,0.6,SHAP50
0.5341748768472907,0.558974358974359,0.5596359070935342,0.5584975369458128,0.6162790697674418,SHAP50
0.511904761904762,0.5202386711820673,0.5216666666666667,0.5203634085213033,0.5882352941176471,SHAP50
