AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,MCC,model_type
0.5381773399014779,0.5500237830981449,0.5524590163934426,0.5492610837438424,0.6162790697674418,0.10166981852402367,Classical_orig
0.6265664160401002,0.5423076923076923,0.5993150684931507,0.5545112781954887,0.6705882352941176,0.147156941088542,Classical_orig
0.5954433497536946,0.5958515637660022,0.6042097998619738,0.5929802955665024,0.6627906976744186,0.1968700890647677,Classical_orig
0.674812030075188,0.5476536042573779,0.55,0.5469924812030075,0.611764705882353,0.09694584179118516,Classical_orig
0.5745073891625616,0.520655737704918,0.5255681818181819,0.5221674876847291,0.6046511627906976,0.04761438251517955,Classical_orig
0.6209273182957392,0.48179271708683474,0.48281907433380084,0.48464912280701755,0.5647058823529412,-0.03248028817381912,Classical_orig
0.6114532019704433,0.6124031007751938,0.6661971830985915,0.6089901477832512,0.7093023255813954,0.26917544871013444,Q_1body
0.7525062656641603,0.7446640316205533,0.7471264367816092,0.7424812030075187,0.7764705882352941,0.4895856030798542,Q_1body
0.7721674876847291,0.6982456140350877,0.6966122202056866,0.7001231527093597,0.7325581395348837,0.396719837511304,Q_1body
0.8464912280701754,0.6718146718146718,0.875,0.6607142857142857,0.7764705882352941,0.4909902530309828,Q_1body
0.6656403940886699,0.6108597285067874,0.616304347826087,0.6317733990147784,0.627906976744186,0.24759498567814756,Q_1body
0.5714285714285715,0.552945301542777,0.5729684908789386,0.5551378446115288,0.6470588235294118,0.12685937587140614,Q_1body
0.5658866995073891,0.5937007874015748,0.6270247229326513,0.5917487684729064,0.686046511627907,0.21591073984110112,Q_2body
0.6835839598997494,0.6324165369313268,0.6606858054226475,0.6262531328320802,0.7058823529411765,0.2848654864054634,Q_2body
0.7204433497536945,0.46626626626626627,0.5043290043290043,0.5018472906403941,0.6395348837209303,0.005655768446177828,Q_2body
0.662907268170426,0.6423562412342216,0.6786898839137645,0.6350250626566416,0.7176470588235294,0.310661312503273,Q_2body
0.7032019704433498,0.6334426229508197,0.6477272727272727,0.6280788177339901,0.6976744186046512,0.2751053211988152,Q_2body
0.6215538847117795,0.6136363636363636,0.6117334905660378,0.6187343358395989,0.6470588235294118,0.2303614706794397,Q_2body
0.7352216748768472,0.7399193548387097,0.7765151515151515,0.7247536945812808,0.7906976744186046,0.4985892173352045,SHAP50
0.7537593984962406,0.6524444444444444,0.6985294117647058,0.643796992481203,0.7294117647058823,0.3379226676671872,SHAP50
0.6822660098522167,0.5636045494313211,0.5903665814151748,0.5652709359605912,0.6627906976744186,0.1536009290144746,SHAP50
0.7174185463659147,0.6324165369313268,0.6606858054226475,0.6262531328320802,0.7058823529411765,0.2848654864054634,SHAP50
0.6902709359605912,0.5772950689709846,0.5806557377049181,0.5757389162561576,0.6395348837209303,0.1563173459806864,SHAP50
0.5429197994987468,0.5378151260504201,0.5424263674614306,0.5379072681704261,0.611764705882353,0.08020642589861456,SHAP50
