AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,MCC,model_type
0.3983990147783251,0.379672131147541,0.3728693181818182,0.3897783251231527,0.4883720930232558,-0.236749290839365,Classical_orig
0.5664160401002506,0.5567144719687093,0.5607923497267759,0.5557644110275689,0.6235294117647059,0.11644826452112804,Classical_orig
0.4039408866995074,0.558974358974359,0.5631720430107527,0.5578817733990148,0.627906976744186,0.12093816401287398,Classical_orig
0.4492481203007519,0.5466666666666666,0.5537518037518038,0.5466791979949874,0.6235294117647059,0.10018165680239387,Classical_orig
0.5178571428571428,0.5408085430968725,0.5405323653962493,0.541256157635468,0.5930232558139535,0.08178532034848421,Classical_orig
0.4655388471177944,0.5489386792452831,0.5515873015873016,0.5570175438596492,0.5764705882352941,0.10846900443638108,Classical_orig
0.47536945812807885,0.47973381730187536,0.4803571428571428,0.47967980295566504,0.5348837209302325,-0.03995731360622632,Q_1body
0.6278195488721804,0.5935792349726776,0.6115384615384616,0.5908521303258145,0.6705882352941176,0.20133064192052993,Q_1body
0.4051724137931035,0.5227238638068097,0.5228739002932552,0.5240147783251231,0.5697674418604651,0.046874796851762095,Q_1body
0.6209273182957393,0.5441965057948451,0.5590111642743222,0.5463659147869674,0.6352941176470588,0.10461561287347042,Q_1body
0.5036945812807881,0.5291189646590343,0.5366300366300366,0.5307881773399015,0.6162790697674418,0.06716463544850534,Q_1body
0.4348370927318296,0.5027667984189723,0.5028735632183908,0.5028195488721805,0.5647058823529412,0.005692855849765747,Q_1body
0.5283251231527093,0.5408085430968725,0.5405323653962493,0.541256157635468,0.5930232558139535,0.08178532034848421,Q_2body
0.6234335839598998,0.5551108374384236,0.5545454545454546,0.556390977443609,0.6,0.11092107999698035,Q_2body
0.649630541871921,0.5837870538415003,0.5827380952380952,0.5855911330049262,0.627906976744186,0.16830504822016543,Q_2body
0.42105263157894735,0.565772669220945,0.567470664928292,0.5648496240601504,0.6235294117647059,0.1322943272508404,Q_2body
0.6108374384236454,0.5177570093457944,0.5226144511858798,0.5252463054187192,0.5465116279069767,0.047788339226863166,Q_2body
0.6641604010025063,0.592911877394636,0.5951760104302477,0.5914786967418546,0.6470588235294118,0.1866180848176106,Q_2body
0.5350985221674878,0.5036306088251723,0.5347734457323499,0.520320197044335,0.6395348837209303,0.05316402050980862,SHAP50
0.5808270676691729,0.5066334991708126,0.5941558441558441,0.5363408521303258,0.6705882352941176,0.11699065962158747,SHAP50
0.6619458128078819,0.5234441602728048,0.6833333333333333,0.5541871921182266,0.6976744186046512,0.1993421034805062,SHAP50
0.6040100250626567,0.5840673321589352,0.6762899262899262,0.5899122807017544,0.7058823529411765,0.25179856502745557,SHAP50
0.5886699507389163,0.5845410628019324,0.6102941176470589,0.583128078817734,0.6744186046511628,0.19150496708855497,SHAP50
0.5952380952380951,0.46105072463768115,0.5895061728395061,0.518170426065163,0.6705882352941176,0.08065643919628337,SHAP50
