model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,3,25,19,39
Classical_orig,1,10,18,14,43
Classical_orig,2,10,18,14,44
Classical_orig,3,9,19,13,44
Classical_orig,4,11,17,18,40
Classical_orig,5,14,14,22,35
Q_1body,0,9,19,21,37
Q_1body,1,10,18,10,47
Q_1body,2,11,17,20,38
Q_1body,3,8,20,11,46
Q_1body,4,8,20,13,45
Q_1body,5,9,19,18,39
Q_2body,0,11,17,18,40
Q_2body,1,12,16,18,39
Q_2body,2,13,15,17,41
Q_2body,3,11,17,15,42
Q_2body,4,13,15,24,34
Q_2body,5,12,16,14,43
SHAP50,0,5,23,8,50
SHAP50,1,4,24,4,53
SHAP50,2,4,24,2,56
SHAP50,3,7,21,4,53
SHAP50,4,9,19,9,49
SHAP50,5,2,26,2,55
