split,feature,mean_abs_shap
0,q2_z_6_93,0.02751394261082814
0,q2_z_6_52,0.022966410489006415
0,q2_z_6_81,0.022553714837204437
0,q2_z_6_9,0.022250367354982262
0,q2_z_6_85,0.022053738392589593
0,q2_z_6_26,0.021984350382025425
0,q2_z_6_32,0.020984292225963225
0,q2_z_6_34,0.020278602399319213
0,q2_z_6_73,0.020096822128495957
0,q2_z_6_41,0.0196372434972324
0,q2_z_6_38,0.01873240249480487
0,q2_z_6_75,0.018596176706354967
0,q2_z_6_86,0.017927703104011955
0,q2_z_6_11,0.017891777308375472
0,q2_z_5_72,0.01665810775821277
0,q2_z_6_54,0.016024935235664756
0,q2_z_66_94,0.015949566783123724
0,q2_z_6_53,0.01566470695507913
0,q2_z_6_97,0.015440561884077237
0,q2_z_29_32,0.01537078696284908
0,q2_z_58_73,0.01492617960457808
0,q2_z_6_79,0.014925403099955119
0,q2_z_6_64,0.012652559663052535
0,q2_z_6_68,0.012607958216747352
0,q2_z_54_84,0.012587066531757733
0,q2_z_6_49,0.012173332083777619
0,q2_z_6_14,0.012063922372917804
0,q2_z_55_66,0.011960350333851311
0,q2_z_6_35,0.01186832252592687
0,q2_z_24_30,0.011605525326323082
0,q2_z_6_27,0.011524044761194096
0,q2_z_15_29,0.011431079175361212
0,q2_z_6_59,0.011335750600519837
0,q2_z_58_79,0.011306503027199401
0,q2_z_32_80,0.011255222123975481
0,q2_z_29_57,0.01125252323023433
0,q2_z_5_6,0.0112104614124594
0,q2_z_6_44,0.011202099604044117
0,q2_z_6_62,0.011136811852403016
0,q2_z_29_96,0.011057358362605785
0,q2_z_51_55,0.01094952814501389
0,q2_z_36_66,0.010933050147220402
0,q2_z_6_8,0.010908977205521836
0,q2_z_6_74,0.01063473977600653
0,q2_z_19_67,0.01059279552033553
0,q2_z_6_88,0.01045988955399987
0,q2_z_36_55,0.010372729382521243
0,q2_z_6_21,0.010103938282680056
0,q2_z_6_12,0.009971481407257135
0,q2_z_36_85,0.009893266434121565
0,q2_z_0_29,0.00988482384355493
0,q2_z_11_29,0.009703614666044535
0,q2_z_66_90,0.009646828018739543
0,q2_z_10_27,0.009644228339914684
0,q2_z_6_43,0.009626342799741413
0,q2_z_55_84,0.009592058007447803
0,q2_z_24_36,0.009491345862589618
0,q2_z_6_24,0.009381723008338937
0,q2_z_80_84,0.009352253738226698
0,q2_z_32_54,0.009335882435179512
0,q2_z_54_72,0.00929846512388758
0,q2_z_66_73,0.00924617917259143
0,q2_z_14_73,0.009242955729498289
0,q2_z_71_79,0.009223358369656485
0,q2_z_6_94,0.00913517090630629
0,q2_z_71_72,0.00911934053447733
0,q2_z_15_67,0.008998288945080672
0,q2_z_79_93,0.008954235880221264
0,q2_z_49_54,0.008953870844627256
0,q2_z_54_66,0.008920438589764197
0,q2_z_6_95,0.008919224509170508
0,q2_z_11_87,0.008903155181517611
0,q2_z_80_85,0.008877005618366412
0,q2_z_48_55,0.008833817674904508
0,q2_z_56_66,0.008810581107909853
0,q2_z_8_15,0.008683881227872477
0,q2_z_8_72,0.008638805612016845
0,q2_z_23_66,0.008607816276207235
0,q2_z_29_73,0.008593767020027473
0,q2_z_6_87,0.00855677401501151
0,q2_z_10_26,0.00853411115764467
0,q2_z_29_80,0.008493304636362916
0,q2_z_6_77,0.008463379656341988
0,q2_z_48_67,0.008383878126235627
0,q2_z_15_66,0.008369188161031391
0,q2_z_6_90,0.008338309165928965
0,q2_z_66_78,0.008330543999562734
0,cl_35,0.008322799083400192
0,q2_z_11_40,0.008290677380201047
0,q2_z_35_58,0.008279174653383731
0,q2_z_29_74,0.008247471359424665
0,q2_z_72_96,0.008241284294202511
0,q2_z_58_98,0.008230438684175454
0,q2_z_5_29,0.008214552322648871
0,q2_z_67_98,0.00821014115435906
0,cl_90,0.008198591892439764
0,q2_z_66_76,0.008186189873543172
0,q2_z_66_88,0.008178454040839679
0,q2_z_11_21,0.008178348112049361
0,q2_z_29_67,0.008176684701256154
0,q2_z_28_61,0.008127131507510734
0,q2_z_12_27,0.008090543440831596
0,q2_z_15_38,0.008057758222009541
0,q2_z_57_66,0.008050579103437606
0,q2_z_58_68,0.008009858108525105
0,q2_z_22_61,0.007949862546170963
0,q2_z_10_72,0.007938240284094135
0,q2_z_11_36,0.007910728495234868
0,q2_z_19_56,0.007874843749591479
0,q2_z_6_36,0.007868425296911718
0,q2_z_26_67,0.007831782173943874
0,q2_z_19_96,0.007824102419971097
0,q2_z_56_68,0.007784381964557436
0,q1_z_58,0.0077790141521128595
0,q2_z_6_84,0.007772516602567766
0,q2_z_24_25,0.007769033142703344
0,q2_z_21_29,0.007747702398185115
0,q2_z_0_54,0.0077233119355296365
0,q2_z_50_58,0.007704662843735373
0,q2_z_29_54,0.007699148982130613
0,q2_z_15_54,0.007686816087031342
0,cl_12,0.007686093419916799
0,q2_z_6_65,0.007641475785077479
0,q2_z_58_93,0.007628928886279194
0,q2_z_32_55,0.007624055621017371
0,q2_z_28_96,0.007587089577074719
0,q2_z_25_66,0.007580398543929269
0,q2_z_52_79,0.007561039689262519
0,q2_z_66_72,0.007537958051153814
0,q2_z_20_66,0.0074852787723133805
0,q2_z_73_94,0.00747515238613544
0,q2_z_10_11,0.007465539112402417
0,q1_z_6,0.0074547996851367995
0,q1_z_17,0.007445179698846301
0,q2_z_28_85,0.007431093692182323
0,q2_z_56_58,0.007427283598911823
0,q1_z_56,0.007419564176890893
0,q2_z_29_62,0.007416992715545252
0,q2_z_32_36,0.007405749526408587
0,q2_z_22_86,0.007397281967723203
0,q2_z_56_67,0.007361084666189777
0,q2_z_29_52,0.007327805059649656
0,q2_z_29_56,0.007325822029451896
0,q2_z_34_67,0.007191846156180324
0,q2_z_9_94,0.0071661923633442644
0,q2_z_6_33,0.007149578103051757
0,q2_z_16_67,0.007139596134710703
0,cl_48,0.007130841947179815
0,q2_z_6_71,0.007128372334694659
0,q2_z_14_67,0.007119196712223992
0,q2_z_6_78,0.007078702854824347
0,q2_z_20_29,0.007077768364363814
0,q2_z_29_47,0.007066382535971015
0,q2_z_22_94,0.007047572916824556
0,q2_z_68_92,0.007039225672915729
0,q2_z_16_29,0.007035398096660061
0,q2_z_43_79,0.00702315397975656
0,q2_z_12_57,0.007022455269904921
0,cl_60,0.007020349929324338
0,q2_z_40_51,0.00701199044061434
0,q2_z_21_24,0.00701133944815261
0,q1_z_68,0.007008946844429108
0,q2_z_29_35,0.007003839973823374
0,q2_z_67_96,0.007001086854616218
0,q2_z_6_82,0.00699815960465706
0,q2_z_9_73,0.006992468213124383
0,q2_z_40_73,0.006990021687582348
0,q2_z_17_36,0.006957823869591397
0,q2_z_28_58,0.0069466547809941635
0,q2_z_72_73,0.006940267362579285
0,q2_z_55_85,0.0069199327786545915
0,q2_z_3_29,0.006914706505141557
0,q2_z_66_77,0.006873780507756132
0,q2_z_29_37,0.006869689458732544
