AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,MCC,model_type
0.4408866995073891,0.44396551724137934,0.44396551724137934,0.44396551724137934,0.5116279069767442,-0.11206896551724138,Classical_orig
0.3759398496240601,0.5781320499323207,0.5775058275058275,0.5833333333333333,0.611764705882353,0.16073355541166828,Classical_orig
0.4981527093596059,0.5271990740740741,0.5305555555555556,0.5338669950738917,0.5581395348837209,0.064337387248163,Classical_orig
0.5401002506265665,0.5206766917293233,0.5206766917293233,0.5206766917293233,0.5764705882352941,0.041353383458646614,Classical_orig
0.4304187192118226,0.42666666666666664,0.4458874458874459,0.43842364532019706,0.4418604651162791,-0.11544788997057785,Classical_orig
0.5031328320802004,0.49,0.5038759689922481,0.5043859649122807,0.5058823529411764,0.008246178266588224,Classical_orig
0.4464285714285714,0.4703812316715542,0.47398190045248867,0.4716748768472906,0.5116279069767442,-0.05429423077575405,Q_1body
0.45426065162907264,0.5391941391941393,0.5433558558558559,0.5482456140350878,0.5647058823529412,0.09147086722629276,Q_1body
0.4716748768472906,0.5208211143695014,0.5226244343891403,0.5246305418719212,0.5581395348837209,0.04721237458761222,Q_1body
0.5476190476190477,0.5489386792452831,0.5515873015873016,0.5570175438596492,0.5764705882352941,0.10846900443638108,Q_1body
0.4033251231527093,0.44396551724137934,0.44396551724137934,0.44396551724137934,0.5116279069767442,-0.11206896551724138,Q_1body
0.48527568922305764,0.4758893280632411,0.47573435504469985,0.47619047619047616,0.5411764705882353,-0.048073004953577414,Q_1body
0.5467980295566502,0.49245901639344264,0.49502840909090906,0.4956896551724138,0.5813953488372093,-0.009258352155729357,Q_2body
0.62468671679198,0.6121251629726205,0.6188524590163935,0.6090225563909775,0.6705882352941176,0.22766289917613797,Q_2body
0.5917487684729065,0.48713119899560575,0.48717948717948717,0.4876847290640394,0.5581395348837209,-0.025130705435587892,Q_2body
0.6347117794486217,0.5842469219092596,0.5974702380952381,0.5820802005012531,0.6588235294117647,0.17888964962525947,Q_2body
0.6145320197044335,0.5271990740740741,0.5305555555555556,0.5338669950738917,0.5581395348837209,0.064337387248163,Q_2body
0.668233082706767,0.583399209486166,0.5842911877394636,0.5827067669172932,0.6352941176470588,0.16699043825979523,Q_2body
0.5153940886699507,0.4347417840375587,0.5892857142857143,0.5092364532019704,0.6744186046511628,0.05743460008059615,SHAP50
0.5776942355889725,0.4842434918770797,0.5196560196560196,0.5100250626566416,0.6352941176470588,0.028075101327103058,SHAP50
0.5320197044334976,0.4440041710114703,0.4783001808318264,0.49261083743842365,0.6395348837209303,-0.025325362101296427,SHAP50
0.6221804511278196,0.5736031828403391,0.5929027113237639,0.5729949874686717,0.6588235294117647,0.1646989040508014,SHAP50
0.6077586206896551,0.5462127659574468,0.5612725844461901,0.5480295566502462,0.6395348837209303,0.108496913610762,SHAP50
0.6011904761904762,0.45476664454766647,0.5375000000000001,0.5093984962406015,0.6588235294117647,0.03754696307413192,SHAP50
