model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,10,18,15,43
Classical_orig,1,6,22,4,53
Classical_orig,2,10,18,15,43
Classical_orig,3,13,15,14,43
Classical_orig,4,9,19,11,47
Classical_orig,5,13,15,16,41
Q_1body,0,6,22,13,45
Q_1body,1,12,16,19,38
Q_1body,2,9,19,9,49
Q_1body,3,10,18,10,47
Q_1body,4,10,18,13,45
Q_1body,5,7,21,14,43
Q_2body,0,4,24,7,51
Q_2body,1,5,23,14,43
Q_2body,2,7,21,12,46
Q_2body,3,8,20,7,50
Q_2body,4,8,20,13,45
Q_2body,5,4,24,12,45
SHAP50,0,4,24,9,49
SHAP50,1,9,19,17,40
SHAP50,2,11,17,22,36
SHAP50,3,12,16,8,49
SHAP50,4,10,18,11,47
SHAP50,5,6,22,11,46
