AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,qc,model_type,num_steps,h_scale,theta_j
0.4818840579710145,0.38482886216466233,0.38257575757575757,0.38768115942028986,0.45714285714285713,Classical,Classical_orig,,,
0.5889328063241107,0.5466666666666666,0.5661375661375662,0.5494071146245059,0.6470588235294118,Classical,Classical_orig,,,
0.7154150197628458,0.5466666666666666,0.5661375661375662,0.5494071146245059,0.6470588235294118,Classical,Classical_orig,,,
0.6007905138339921,0.48328267477203646,0.4833333333333333,0.4841897233201581,0.5588235294117647,Classical,Classical_orig,,,
0.6758893280632411,0.5521783181357649,0.5541666666666667,0.5513833992094861,0.6176470588235294,Classical,Classical_orig,,,
0.4311594202898551,0.46969696969696967,0.47,0.47282608695652173,0.5428571428571428,Classical,Classical_orig,,,
0.7549407114624506,0.6899696048632218,0.6958333333333333,0.6857707509881423,0.7352941176470589,Classical,Classical_orig,,,
0.4584980237154151,0.5041666666666667,0.5066666666666667,0.5059288537549407,0.5882352941176471,Classical,Classical_orig,,,
0.7075098814229248,0.7312252964426877,0.7312252964426877,0.7312252964426877,0.7647058823529411,Classical,Classical_orig,,,
0.683794466403162,0.5968379446640316,0.5968379446640316,0.5968379446640316,0.6470588235294118,Classical,Classical_orig,,,
0.5108695652173912,0.5578231292517006,0.5683760683760684,0.5579710144927537,0.6285714285714286,Classical,Classical_orig,,,
0.5335968379446641,0.43333333333333335,0.4311111111111111,0.43873517786561267,0.5294117647058824,Classical,Classical_orig,,,
0.5810276679841897,0.4522019334049409,0.4519230769230769,0.46047430830039526,0.5588235294117647,Classical,Classical_orig,,,
0.616600790513834,0.5729468599033817,0.571969696969697,0.575098814229249,0.6176470588235294,Classical,Classical_orig,,,
0.6521739130434783,0.59828141783029,0.6153846153846154,0.5948616600790514,0.6764705882352942,Classical,Classical_orig,,,
0.5869565217391305,0.5512820512820513,0.5948275862068966,0.5597826086956521,0.6571428571428571,Classical,Classical_orig,,,
0.6324110671936759,0.5686274509803921,0.6071428571428572,0.5711462450592886,0.6764705882352942,Classical,Classical_orig,,,
0.5770750988142292,0.5492424242424242,0.5494505494505495,0.5533596837944664,0.5882352941176471,Classical,Classical_orig,,,
0.5612648221343873,0.6222222222222222,0.656084656084656,0.616600790513834,0.7058823529411765,Classical,Classical_orig,,,
0.5968379446640316,0.5521783181357649,0.5541666666666667,0.5513833992094861,0.6176470588235294,Classical,Classical_orig,,,
0.6195652173913044,0.5359848484848485,0.54,0.536231884057971,0.6,Classical,Classical_orig,,,
0.5968379446640316,0.575,0.5822222222222222,0.5731225296442688,0.6470588235294118,Classical,Classical_orig,,,
0.6284584980237155,0.6458333333333333,0.6577777777777778,0.6403162055335968,0.7058823529411765,Classical,Classical_orig,,,
0.6264822134387352,0.59828141783029,0.6153846153846154,0.5948616600790514,0.6764705882352942,Classical,Classical_orig,,,
0.4624505928853755,0.5466666666666666,0.5661375661375662,0.5494071146245059,0.6470588235294118,Classical,Classical_orig,,,
0.28,0.25,0.25,0.25,0.3333333333333333,QC,Q_1body,,,
0.3,0.4,0.4,0.4,0.4666666666666667,QC,Q_1body,,,
0.48,0.354066985645933,0.3611111111111111,0.35,0.4,QC,Q_1body,,,
0.6499999999999999,0.475,0.475,0.475,0.5714285714285714,QC,Q_1body,,,
0.725,0.475,0.475,0.475,0.5714285714285714,QC,Q_1body,,,
0.6499999999999999,0.5906432748538011,0.5888888888888889,0.6,0.6428571428571429,QC,Q_1body,,,
0.575,0.5333333333333333,0.5416666666666666,0.55,0.5714285714285714,QC,Q_1body,,,
0.7777777777777778,0.7543859649122806,0.775,0.7444444444444445,0.7857142857142857,QC,Q_1body,,,
0.7111111111111111,0.65,0.696969696969697,0.6444444444444444,0.7142857142857143,QC,Q_1body,,,
0.4,0.41666666666666663,0.42857142857142855,0.4222222222222222,0.42857142857142855,QC,Q_1body,,,
