model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,7,21,19,39
Classical_orig,1,3,25,7,50
Classical_orig,2,11,17,12,46
Classical_orig,3,11,17,20,37
Classical_orig,4,12,16,13,45
Classical_orig,5,10,18,17,40
Q_1body,0,6,22,11,47
Q_1body,1,9,19,23,34
Q_1body,2,14,14,13,45
Q_1body,3,11,17,5,52
Q_1body,4,14,14,12,46
Q_1body,5,8,20,12,45
Q_2body,0,6,22,14,44
Q_2body,1,13,15,19,38
Q_2body,2,11,17,8,50
Q_2body,3,11,17,8,49
Q_2body,4,16,12,19,39
Q_2body,5,10,18,11,46
SHAP50,0,6,22,14,44
SHAP50,1,11,17,9,48
SHAP50,2,4,24,5,53
SHAP50,3,8,20,12,45
SHAP50,4,8,20,17,41
SHAP50,5,10,18,10,47
