M,fidelity
1,0.07914296304282985
2,0.040478529801744025
3,0.1321850751346339
4,0.29489948116679915
5,0.14371946651791973
6,0.16828358765334395
7,0.3097159434988013
8,0.4121409622928384
9,0.3984438120868642
10,0.3921484003221375
11,0.481218535582143
12,0.6669049807679542
13,0.45057589882591736
14,0.6726377216747923
15,0.5973738393242282
16,0.5685878921915629
17,0.4108879189423144
18,0.549651604245136
19,0.6391929092208007
20,0.5920431351093699
21,0.6272245735065408
22,0.7226552536278215
23,0.7042248449243869
24,0.8040291958675385
25,0.7493905617621569
26,0.8766661007822898
27,0.7940284095176694
28,0.6571208815252219
29,0.756193664427402
30,0.5876878497139032
31,0.8038424407466269
32,0.5827456421740004
33,0.770547515378295
34,0.6481856191290231
35,0.7491913696517916
36,0.710576743766806
37,0.719534749697453
38,0.8918332140557333
39,0.6874465447354705
40,0.823329443297335
41,0.7965552555491603
42,0.7227461684877192
43,0.8419109116116494
44,0.8351032572200836
45,0.9203103360473233
46,0.8078093435040478
47,0.8763572086822065
48,0.8147807696211374
49,0.8207564899250511
50,0.8963539038653241
51,0.8710692170277066
52,0.8493505180348508
53,0.8494591439096275
54,0.9006997865993303
55,0.8966976502658983
56,0.8479901493033908
57,0.8935930105313951
58,0.893714058064757
59,0.922743979668575
60,0.8316886296681896
61,0.9134462910546652
62,0.9614149225225617
63,0.856190401858569
64,0.8618660954590274
65,0.8546531718959798
66,0.8929383997766843
67,0.9574857044175268
68,0.923133331728551
69,0.9213326479133657
70,0.948578402221644
71,0.858835588878204
72,0.8218654025129805
73,0.9145724680952415
74,0.9171270628499381
75,0.9076568053410554
76,0.8974944700632979
77,0.9423014165897265
78,0.9020954621487537
79,0.9478784783929964
80,0.9043332556884904
81,0.9532696137689918
82,0.945412587859694
83,0.9260144964527123
84,0.8904265166342441
85,0.9423407195964325
86,0.9375171041389617
87,0.8951331228958223
88,0.9237732999310075
89,0.9239222345199347
90,0.9742349681138938
91,0.880617041317284
92,0.8701897499127059
93,0.9405748720817629
94,0.9297419326198821
95,0.9693568181843898
96,0.9497048300000064
97,0.9442358972270983
98,0.9330959882736004
99,0.9323253408517702
100,0.9649828363310529
101,0.9110893718453591
102,0.9699099607618392
103,0.9336019485882641
104,0.9457923466290592
105,0.9723851001750796
106,0.9773034962967568
107,0.9373423446763205
108,0.9820740689726734
109,0.9551878899399343
110,0.9733910856194676
111,0.9054169710404222
112,0.9130924113246998
113,0.9472253457825447
114,0.9535529689630465
115,0.9494517524117172
116,0.9667765468136531
117,0.9495441625942718
118,0.9722683418384285
119,0.9507344170596845
120,0.9491380638269684
121,0.9810599926642889
122,0.968781918776444
123,0.974783019637913
124,0.9837622705224878
125,0.9718878293584995
126,0.9029634934627794
127,0.950271722746345
128,0.9348275065719653
129,0.9405982023073993
130,0.9071702212002986
131,0.9396684041545442
132,0.9383260573877275
133,0.9794517232290362
134,0.9745047750506894
135,0.9731841933050969
136,0.9502157109910959
137,0.9894836601869569
138,0.9610067922888228
139,0.9800939194131361
140,0.9791884546234002
141,0.9705233277637628
142,0.9760140172722768
143,0.9809833517500358
144,0.9737015636389165
145,0.9863622496310097
146,0.9810961837645418
147,0.9825099439435493
148,0.9826264595581982
149,0.9919282765176216
150,0.9803215513617687
151,0.971160027477332
152,0.9525585461832415
153,0.9552150665040128
154,0.9603230185126373
155,0.9640544058752474
156,0.920302242809786
157,0.9332382602117761
158,0.9790685057811168
159,0.9497485944449913
160,0.9216878325787773
161,0.9742645934451365
162,0.9599602115427929
163,0.9650801981645605
164,0.9526620178015922
165,0.9764073627122659
166,0.9509442827502429
167,0.9805941376018162
168,0.9259006710293267
169,0.9461910860041508
170,0.9676185944010726
171,0.9665097788768141
172,0.974002783693273
173,0.9791929538743434
174,0.9712714370063488
175,0.9800691772849482
176,0.9836204062724923
177,0.98178989569767
178,0.9692326801200917
179,0.9791775291998681
180,0.9845602799702864
181,0.981223885213122
182,0.9807040599338971
183,0.9865208117758457
184,0.9905094026234017
185,0.9905138546164126
186,0.985658225391041
187,0.9863244860803163
188,0.9824286644742514
189,0.9909461648657001
190,0.9938506951331845
191,0.9834946343502226
192,0.9851415545792828
193,0.9856243845353455
194,0.9641115608474745
195,0.9230341388905999
196,0.9452491233745545
197,0.9865635675888167
198,0.9497194054964202
199,0.9851055289067931
200,0.9689200650679303
201,0.9859823269005349
202,0.9610883967775464
203,0.9711982155066191
204,0.9906038282703316
205,0.970844367839712
206,0.9625621759451821
207,0.9781644883535546
208,0.980927943731092
209,0.9906039970361068
210,0.9848659313946652
211,0.9810969525890699
212,0.9817657994585091
213,0.9534967283607542
214,0.956085562166702
215,0.9574294184699416
216,0.9865615673275216
217,0.9868999341232833
218,0.9811088723353604
219,0.9748279193896209
220,0.9894756566418165
221,0.9808921394040401
222,0.9786365093586312
223,0.982711730697799
224,0.9886898355833392
225,0.9826831638795052
226,0.9769574019645796
227,0.9728407603090711
228,0.9666660432447137
229,0.9407436529172513
230,0.9545999832092242
231,0.9618137117410913
232,0.9715200218071901
233,0.9884412438874247
234,0.9833610776388109
235,0.9781944993788589
236,0.9720730490776144
237,0.9776621350066582
238,0.988456116654886
239,0.9880033012683398
240,0.9697386148904811
241,0.9839353156882666
242,0.995104011978723
243,0.9818217728205075
244,0.9836815494700101
245,0.9903619019765756
246,0.9843866159044384
247,0.980106306740419
248,0.9820058808469455
249,0.9802361050421771
250,0.9849857004824402
251,0.9619694604497278
252,0.9337055858905432
253,0.9590327352407794
254,0.9747335452482743
255,0.9855702654890295
256,0.9901226086440569
257,0.9701034417197292
258,0.9551107016491126
